NetworkLookup_TblRefID,Network_Code,Network_RAPDRPCode,Network_Name,Network_Address,HigherNetwork_ID,NetworkHierarchy_TblRefID,OrganisationLookup_TblRefID,IsActiveStatus,EntryUserCode,EntryDateTime,EntryLoginCode,UpdateLoginCode,UpdateUserCode,UpdateDateTime,Network_NIC_Code,Network_PFC_Code,SUPPLY_VTG_TblRefID
271001,MRN0000232,MRN0000232,NA,NA,2518,3,302,True,1,10/14/2020 9:35:38 AM,,,,,,,1
271002,MRN0000235,MRN0000235,NA,NA,1771,3,302,True,1,10/14/2020 9:35:38 AM,,,,,,,1
271003,MRN0000251,MRN0000251,NA,NA,1769,3,302,True,1,10/14/2020 9:35:38 AM,,,,,,,1
271004,MRN0000252,MRN0000252,NA,NA,2518,3,302,True,1,10/14/2020 9:35:38 AM,,,,,,,1
271005,MRN0000258,MRN0000258,NA,NA,8477,3,302,True,1,10/14/2020 9:35:38 AM,,,,,,,1
271006,MRN0000269,MRN0000269,NA,NA,2515,3,302,True,1,10/14/2020 9:35:38 AM,,,,,,,1
271007,MRN0000294,MRN0000294,NA,NA,2515,3,302,True,1,10/14/2020 9:35:38 AM,,,,,,,1
271008,MRN0000305,MRN0000305,BHAGGA SARPANCH,BHAGGA SARPANCH,2515,3,302,True,1,10/14/2020 9:35:38 AM,,,,,,,1
271009,MRN0000307,MRN0000307,BANJARA WALA,BANJARA WALA,1574,3,302,True,1,10/14/2020 9:35:38 AM,,,,,,,1
271010,MRN0000312,MRN0000312,GAUTAMLAL BHERULAL PATIDAR,GAUTAMLAL BHERULAL PATIDAR,1827,3,302,True,1,10/14/2020 9:35:38 AM,,,,,,,1
271011,MRN0000318,MRN0000318,SUBHASH NARAYAN,SUBHASH NARAYAN,1771,3,302,True,1,10/14/2020 9:35:38 AM,,,,,,,1
271012,MRN0000324,MRN0000324,MOTILAL INDERMAL JAIN,MOTILAL INDERMAL JAIN,1771,3,302,True,1,10/14/2020 9:35:38 AM,,,,,,,1
271013,MRN0000350,MRN0000350,NAHAR WALA,NAHAR WALA,1820,3,302,True,1,10/14/2020 9:35:38 AM,,,,,,,1
271014,MRN0000351,MRN0000351,RAJNAGAR GAON WALA,RAJNAGAR GAON WALA,1820,3,302,True,1,10/14/2020 9:35:38 AM,,,,,,,1
271015,MRN0000358,MRN0000358,MANDIR WALA,MANDIR WALA,1820,3,302,True,1,10/14/2020 9:35:38 AM,,,,,,,1
271016,MRN0000366,MRN0000366,CHAKKI WALA,CHAKKI WALA,1821,3,302,True,1,10/14/2020 9:35:38 AM,,,,,,,1
271017,MRN0000372,MRN0000372,BSNL WALA 2ND,BSNL WALA 2ND,2520,3,302,True,1,10/14/2020 9:35:38 AM,,,,,,,1
271018,MRN0000376,MRN0000376,KHOTI KUA WALA,KHOTI KUA WALA,2519,3,302,True,1,10/14/2020 9:35:38 AM,,,,,,,1
271019,MRN0000392,MRN0000392,PYARARAM GHASI ANUDAN,PYARARAM GHASI ANUDAN,2515,3,302,True,1,10/14/2020 9:35:38 AM,,,,,,,1
271020,MRN0000400,MRN0000400,HANSRAJ BALAI AADIM JATI,HANSRAJ BALAI AADIM JATI,1574,3,302,True,1,10/14/2020 9:35:38 AM,,,,,,,1
271021,MRN0000407,MRN0000407,KARULAL GUJAR WALA,KARULAL GUJAR WALA,2518,3,302,True,1,10/14/2020 9:35:38 AM,,,,,,,1
271022,MRN0000408,MRN0000408,RAMESH CHAND PRABHULAL ANUDAN,RAMESH CHAND PRABHULAL ANUDAN,1827,3,302,True,1,10/14/2020 9:35:38 AM,,,,,,,1
271023,MRN0000409,MRN0000409,KARULAL BHERULAL ANUDAN,KARULAL BHERULAL ANUDAN,1827,3,302,True,1,10/14/2020 9:35:38 AM,,,,,,,1
271024,MRN0000410,MRN0000410,SHIVNARAYAN RAMDAYAL ANUDAN,SHIVNARAYAN RAMDAYAL ANUDAN,1827,3,302,True,1,10/14/2020 9:35:38 AM,,,,,,,1
271025,MRN0000433,MRN0000433,OMKARSINGH WALA ANUDAN,OMKARSINGH WALA ANUDAN,2518,3,302,True,1,10/14/2020 9:35:38 AM,,,,,,,1
271026,MRN0000442,MRN0000442,PAPPULAL BHANVAR LAL ANUDAN,PAPPULAL BHANVAR LAL ANUDAN,2518,3,302,True,1,10/14/2020 9:35:38 AM,,,,,,,1
271027,MRN0000462,MRN0000462,KACHRU KUKA WALA ANUDAN,KACHRU KUKA WALA ANUDAN,8477,3,302,True,1,10/14/2020 9:35:38 AM,,,,,,,1
271028,MRN0000465,MRN0000465,DEVILAL WALA ANUDAN,DEVILAL WALA ANUDAN,8477,3,302,True,1,10/14/2020 9:35:38 AM,,,,,,,1
271029,MRN0000469,MRN0000469,BADRILAL WALA ANUDAN,BADRILAL WALA ANUDAN,8477,3,302,True,1,10/14/2020 9:35:38 AM,,,,,,,1
271030,MRN0000471,MRN0000471,GOPAL LOHAR WALA ANUDAN,GOPAL LOHAR WALA ANUDAN,8477,3,302,True,1,10/14/2020 9:35:38 AM,,,,,,,1
271031,MRN0000473,MRN0000473,MUKESH MOHANLAL WALA ANUDAN,MUKESH MOHANLAL WALA ANUDAN,8477,3,302,True,1,10/14/2020 9:35:38 AM,,,,,,,1
271032,MRN0000490,MRN0000490,CHANDA MANNA,CHANDA MANNA,1609,3,302,True,1,10/14/2020 9:35:38 AM,,,,,,,1
271033,MRN0000494,MRN0000494,NATHU GORA WALA,NATHU GORA WALA,1609,3,302,True,1,10/14/2020 9:35:38 AM,,,,,,,1
271034,MRN0000503,MRN0000503,AADIM JATI,AADIM JATI,8477,3,302,True,1,10/14/2020 9:35:38 AM,,,,,,,1
271035,MRN0000504,MRN0000504,USMAN BEG RAHIM BEG,USMAN BEG RAHIM BEG,1885,3,302,True,1,10/14/2020 9:35:38 AM,,,,,,,1
271036,MSR0000010,MSR0000010,Mani Residancy,Mani Residancy,5245,3,379,True,1,10/14/2020 9:35:38 AM,,,,,,,1
271037,MSR0000015,MSR0000015,NA,NA,5792,3,379,True,1,10/14/2020 9:35:38 AM,,,,,,,1
271038,MSR0000019,MSR0000019,NA,NA,5792,3,379,True,1,10/14/2020 9:35:38 AM,,,,,,,1
271039,MSR0000037,MSR0000037,NA,NA,5800,3,379,True,1,10/14/2020 9:35:38 AM,,,,,,,1
271040,MSR0000053,MSR0000053,NA,NA,5245,3,379,True,1,10/14/2020 9:35:38 AM,,,,,,,1
271041,MSR0000062,MSR0000062,Ghash mandi chouraha,Ghash mandi chouraha,6167,3,379,True,1,10/14/2020 9:35:38 AM,,,,,,,1
271042,MSR0000075,MSR0000075,NA,NA,6167,3,379,True,1,10/14/2020 9:35:38 AM,,,,,,,1
271043,MSR0000078,MSR0000078,NA,NA,6167,3,379,True,1,10/14/2020 9:35:38 AM,,,,,,,1
271044,MSR0000079,MSR0000079,Mahakal Teris,Mahakal Teris,6167,3,379,True,1,10/14/2020 9:35:38 AM,,,,,,,1
271045,MSR0000088,MSR0000088,NA,NA,8629,3,379,True,1,10/14/2020 9:35:38 AM,,,,,,,1
